rt,tp,target
4.18,0.086842105,4.18
3.112,0.11664525,3.112
6.843,0.05304691,6.843
0.778,0.466581,0.778
0.873,0.41580757,0.873
3.896,0.09317248,3.896
0.826,0.4394673,0.826
0.868,0.41820276,0.868
0.804,0.45149255,0.804
3.609,0.10058188,3.609
0.902,0.40243903,0.902
0.794,0.45717883,0.794
3.485,0.10416069,3.485
0.872,0.4162844,0.872
0.817,0.44430846,0.817
0.777,0.46718147,0.777
0.864,0.4201389,0.864
0.847,0.42857143,0.847
0.861,0.4216028,0.861
0.82,0.44268292,0.82
0.854,0.42505854,0.854
1.318,0.2754173,1.318
10.274,0.035331905,10.274
3.921,0.092578426,3.921
6.791,0.0534531,6.791
0.881,0.41203177,0.881
0.78,0.4653846,0.78
0.83,0.4373494,0.83
0.87,0.41724136,0.87
0.935,0.3882353,0.935
0.875,0.41485715,0.875
3.787,0.09585424,3.787
0.829,0.43787697,0.829
0.914,0.39715537,0.914
0.83,0.4373494,0.83
0.763,0.4757536,0.763
0.846,0.429078,0.846
3.677,0.09872179,3.677
9.752,0.037223134,9.752
0.976,0.37192622,0.976
0.773,0.46959898,0.773
0.832,0.43629807,0.832
0.738,0.49186993,0.738
3.846,0.094383776,3.846
0.849,0.42756185,0.849
0.743,0.4885599,0.743
0.814,0.44594595,0.814
0.771,0.47081712,0.771
3.817,0.095100865,3.817
0.82,0.44268292,0.82
0.791,0.45891276,0.791
0.797,0.45545796,0.797
0.793,0.45775536,0.793
0.918,0.39542484,0.918
0.86,0.42209303,0.86
0.919,0.39499456,0.919
9.815,0.03698421,9.815
0.815,0.44539878,0.815
0.899,0.40378198,0.899
0.973,0.37307298,0.973
3.637,0.09980753,3.637
0.757,0.47952443,0.757
0.827,0.4389359,0.827
0.79,0.45949367,0.79
