s1,s2,s3,s4,s5,avg
0.441,0.323,0.235,1.959,0.283,0.6482
0.524,0.246,0.235,0.437,0.307,0.3498
0.404,0.334,0.245,0.635,0.309,0.3854
0.395,2.399,0.235,1.535,0.325,0.9778
3.35,0.323,0.244,1.297,0.316,1.106
3.272,0.305,0.238,1.783,0.349,1.1894
0.431,0.235,0.236,1.177,0.335,0.4828
0.406,0.29,0.24,2.628,0.285,0.7698
0.437,0.235,0.236,0.583,0.322,0.3626
0.382,0.285,0.241,0.254,0.284,0.2892
0.414,0.299,0.25,0.589,0.282,0.3668
0.478,0.269,0.236,2.241,0.32,0.7088
0.417,0.245,0.235,0.722,0.285,0.3808
0.448,0.236,0.239,1.887,0.356,0.6332
0.489,0.26,0.239,0.323,0.385,0.3392
7.854,0.295,0.235,0.337,0.306,1.8054
0.442,0.26,0.243,0.626,0.283,0.3708
0.377,0.297,0.237,1.744,0.327,0.5964
0.391,0.237,0.236,2.072,0.287,0.6446
3.129,0.243,0.235,0.746,0.388,0.9482
0.495,0.293,0.235,0.594,0.308,0.385
0.411,0.257,0.239,2.409,0.307,0.7246
0.403,0.28,0.236,2.88,0.307,0.8212
0.473,0.236,0.236,1.676,0.286,0.5814
0.433,0.271,0.24,0.254,0.32,0.3036
0.412,0.268,0.278,0.258,0.309,0.305
0.384,2.777,0.235,1.935,0.288,1.1238
0.392,0.27,0.236,0.654,0.324,0.3752
0.423,0.239,0.237,0.386,0.34,0.325
8.805,0.238,0.27,1.369,0.286,2.1936
0.453,0.245,0.236,0.664,0.284,0.3764
0.416,0.264,0.236,2.254,0.324,0.6988
8.758,0.315,0.235,1.633,0.287,2.2456
0.458,0.316,0.241,1.853,0.282,0.63
0.397,0.265,0.236,4.115,0.291,1.0608
0.429,0.296,0.235,0.585,0.298,0.3686
0.437,0.237,0.237,0.533,0.297,0.3482
0.494,0.235,0.237,0.76,0.285,0.4022
0.393,0.303,0.248,2.11,0.284,0.6676
0.476,0.334,0.236,1.016,0.31,0.4744
0.377,0.269,0.236,1.064,0.312,0.4516
2.741,0.288,0.236,0.985,0.292,0.9084
0.454,0.243,0.236,1.53,0.283,0.5492
0.427,0.329,0.242,0.62,0.325,0.3886
0.445,0.341,0.25,1.908,0.283,0.6454
0.45,0.268,0.237,0.484,0.344,0.3566
0.385,0.271,0.236,0.671,0.368,0.3862
0.403,0.294,0.238,0.576,0.283,0.3588
0.421,0.29,0.236,2.198,0.307,0.6904
0.498,0.343,0.235,1.521,0.285,0.5764
0.486,0.293,0.237,0.998,0.303,0.4634
0.389,0.311,0.24,0.94,0.3,0.436
0.385,0.293,0.235,0.492,0.284,0.3378
2.991,0.33,0.236,1.817,0.314,1.1376
3.103,0.24,0.244,2.037,0.284,1.1816
0.381,0.315,0.238,0.826,0.329,0.4178
0.41,0.277,0.239,1.413,0.33,0.5338
0.39,0.331,0.324,0.981,0.289,0.463
0.46,0.268,0.236,2.014,0.325,0.6606
0.441,0.248,0.237,0.644,0.309,0.3758
0.453,0.251,0.245,0.339,0.305,0.3186
0.461,0.28,0.238,1.692,0.282,0.5906
0.393,0.26,0.237,0.689,0.308,0.3774
3.163,0.258,0.235,0.511,0.289,0.8912
